timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
3608.056097085	0.000000000	4.704	-0.768	0.084	-0.128	0.776111	1	4294967295
3608.355987567	0.000000000	4.739	-0.867	0.083	-0.143	0.718272	1	4294967295
3608.655819625	0.000000000	4.738	-0.970	0.074	-0.158	0.713270	1	4294967295
3608.955659695	0.000000000	4.739	-1.080	0.066	-0.173	0.710105	1	4294967295
3609.255498536	0.000000000	4.737	-1.188	0.057	-0.187	0.669305	1	4294967295
3609.555287151	0.000000000	4.729	-1.299	0.048	-0.201	0.662803	1	4294967295
3609.855129858	0.000000000	4.720	-1.406	0.040	-0.212	0.615711	1	4294967295
3610.155030575	0.000000000	4.714	-1.516	0.033	-0.224	0.575645	1	4294967295
3610.454854632	0.000000000	4.695	-1.620	0.023	-0.233	0.569048	1	4294967295
3610.754595840	0.000000000	4.672	-1.725	0.013	-0.242	0.597354	1	4294967295
3611.054440814	0.000000000	4.649	-1.822	0.003	-0.247	0.528410	1	4294967295
3611.354292116	0.000000000	4.635	-1.915	-0.003	-0.252	0.472982	1	4294967295
3611.654082997	0.000000000	4.605	-2.015	-0.014	-0.257	0.531645	1	4294967295
3611.953946137	0.000000000	4.577	-2.112	-0.022	-0.262	0.472914	1	4294967295
3612.253825383	0.000000000	4.551	-2.206	-0.030	-0.265	0.438708	1	4294967295
3612.553611919	0.000000000	4.526	-2.294	-0.037	-0.267	0.451352	1	4294967295
3612.853457818	0.000000000	4.496	-2.380	-0.044	-0.267	0.434248	1	4294967295
3613.153342333	0.000000000	4.470	-2.459	-0.050	-0.266	0.405502	1	4294967295
3613.453195965	0.000000000	4.447	-2.543	-0.055	-0.267	0.374764	1	4294967295
3613.753038528	0.000000000	4.514	-2.589	-0.033	-0.258	1.829622	1	4294967295
3614.052965287	0.000000000	4.570	-2.640	-0.016	-0.251	1.753822	1	4294967295
3614.352797795	0.000000000	4.607	-2.688	-0.006	-0.244	1.699631	1	4294967295
3614.652608359	0.000000000	4.631	-2.735	-0.001	-0.236	1.672673	1	4294967295
3614.952554824	0.000000000	4.661	-2.788	0.005	-0.232	1.591848	1	4294967295
3615.252414167	0.000000000	4.677	-2.840	0.007	-0.226	1.632279	1	4294967295
3615.552453543	0.000000000	4.624	-2.919	-0.010	-0.228	0.751369	1	4294967295
3615.852318677	0.000000000	4.635	-2.964	-0.008	-0.221	1.584357	1	4294967295
3616.152221739	0.000000000	4.631	-3.000	-0.011	-0.213	1.563968	1	4294967295
3616.452103794	0.000000000	4.641	-3.047	-0.009	-0.208	1.491490	1	4294967295
3616.752149927	0.000000000	4.620	-3.085	-0.016	-0.201	1.529666	1	4294967295
3617.051961741	0.000000000	4.610	-3.141	-0.019	-0.200	1.437784	1	4294967295
