timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
8645.015222783	0.000000000	1.256	1.593	0.114	0.350	1.933465	1	4294967295
8645.314985206	0.000000000	1.374	1.598	0.137	0.323	1.475200	1	4294967295
8645.614715129	0.000000000	1.503	1.587	0.161	0.294	1.483829	1	4294967295
8645.914323735	0.000000000	1.626	1.515	0.180	0.251	1.696835	1	4294967295
8646.213853228	0.000000000	1.758	1.420	0.201	0.205	1.805615	1	4294967295
8646.513504724	0.000000000	1.880	1.308	0.217	0.158	1.773136	1	4294967295
8646.813411418	0.000000000	1.998	1.184	0.231	0.112	1.707209	1	4294967295
8647.112989633	0.000000000	2.106	1.034	0.241	0.062	1.749318	1	4294967295
8647.412693556	0.000000000	2.205	0.872	0.248	0.012	1.684292	1	4294967295
8647.712594691	0.000000000	2.271	0.714	0.245	-0.032	1.554250	1	4294967295
8648.012533269	0.000000000	2.370	0.588	0.252	-0.064	1.298465	1	4294967295
8648.312209436	0.000000000	2.416	0.415	0.243	-0.106	1.485154	1	4294967295
8648.612278601	0.000000000	2.448	0.238	0.232	-0.145	1.415792	1	4294967295
8648.912130533	0.000000000	2.499	0.080	0.228	-0.176	1.229967	1	4294967295
8649.211523304	0.000000000	2.644	-0.211	0.253	-0.240	3.528224	1	4294967295
8649.511486412	0.000000000	2.781	-0.502	0.273	-0.298	3.427113	1	4294967295
8649.811858059	0.000000000	2.894	-0.781	0.284	-0.349	3.281096	1	4294967295
8650.111256332	0.000000000	2.974	-1.049	0.285	-0.392	3.116777	1	4294967295
8650.411360285	0.000000000	3.045	-1.302	0.283	-0.428	3.027711	1	4294967295
8650.711241345	0.000000000	3.123	-1.535	0.283	-0.456	2.870469	1	4294967295
8651.011249714	0.000000000	3.185	-1.766	0.279	-0.481	2.756384	1	4294967295
8651.310945154	0.000000000	3.238	-1.975	0.272	-0.498	2.681337	1	4294967295
8651.611579462	0.000000000	3.276	-2.147	0.261	-0.504	2.706147	1	4294967295
8651.910538298	0.000000000	3.312	-2.306	0.250	-0.507	2.582626	1	4294967295
8652.225200157	0.000000000	3.350	-2.473	0.238	-0.510	2.464664	1	4294967295
8652.521941437	0.000000000	3.290	-2.470	0.200	-0.469	1.884828	1	4294967295
8652.825050313	0.000000000	3.263	-2.550	0.175	-0.453	2.590133	1	4294967295
8653.124998306	0.000000000	3.204	-2.578	0.144	-0.424	2.714561	1	4294967295
8653.425131767	0.000000000	3.248	-2.607	0.145	-0.399	3.103324	1	4294967295
8653.708420689	0.000000000	3.183	-2.580	0.117	-0.360	2.569621	1	4294967295
8654.007960380	0.000000000	3.096	-2.610	0.083	-0.338	1.510006	1	4294967295
